smiles,ligand_id
CCCCCCCCCCOc1cccc(c1)COc2ccc(cc2C(=O)O)[N+](=O)[O-],04W
C1COCCN1CC2=CC[C@H](NC2)C(=O)O,04X
c1ccc(cc1)c2ccncc2N3CCC(CC3)C(=O)NC4CC4,04Y
COc1cccc(c1)C(=O)c2c(nc(s2)Nc3ccc(cc3)S(=O)(=O)N)N,04Z
c1cc(c(cc1C#N)F)COc2ccc3cc(ccc3c2)S(=O)(=O)N[C@H]4CC[C@H](C[C@H]4C(=O)O)C(=O)O,051
Cc1cc(ccc1C(=O)NC2CC2)c3cnn4c3nc(cc4NCCN5CCOCC5)Oc6ccccc6,052
c1cc2c(cc1C(F)(F)F)c(c(n2Cc3ccnc(c3)N)C(=O)O)C4=CC=CNC4=O,053
c1cc2c(cc1C(F)(F)F)c(c(n2Cc3ccnc(c3)N)C(=O)O)N4C(=O)c5cscc5NC4=O,054
Cc1cccc(c1NC(=O)Nc2cc3ccccc3cc2C(=O)N[C@@H](c4ccccc4)C(=O)O)Cl,055
c1cc(cc(c1)C(=O)O)CSCc2ccc(cc2Cl)Cl,056
CC(C)(CO)NC(=O)c1ccc2c(c1)c(cn2C)c3cc4cccnc4[nH]3,057
c1ccc(cc1)Cn2c3ccc(cc3c(c2C(=O)O)c4ccccc4F)Cl,058
CC(C)[C@H](NS(=O)(=O)CCc1ccccc1)[P@](=O)(C[C@@H](c2cccc(c2)CN)C(=O)O)O,059
CC1=CN(C(=O)NC1=O)[C@H]2[C@H]3[C@@H]([C@@](O2)(CO3)COP(=O)(O)O)CC(=O)NC[C@]45CO[C@H]([C@@H]4O)[C@@H](O5)N6C=C(C(=O)NC6=O)C,05A
c1cc2c(cc1c3nccc(n3)c4cc5c([nH]4)C6(CCNCC6)CNC5=O)OCO2,05B
Cc1cccc2c1c(ccc2)N3CCc4c(nc(nc4N5CCNC[C@H]5C)OC[C@@H]6CCCN6C)C3,05C
Cc1cnn(c1)c2ccncc2N3CCC(CC3)C(=O)N(C)C,05D
C(COP(=O)(O)O[C@H]1[C@H]([C@@H]([C@H](O[C@@H]1O)CO)O)O)N,05E
Cc1cccc2c1c(ccc2)N3CCc4c(nc(nc4N5[C@@H]6CC[C@H]5CNC6)OC[C@@H]7CCCN7C)C3,05F
Cc1cc(c(cc1S(=O)(=O)O)OC)/N=N/c2c3ccc(cc3ccc2O)S(=O)(=O)O,05G
CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CNC(=O)C[C@H]3[C@@H]4[C@@H](O[C@]3(CO4)COP(=O)(O)O)N5C=C(C(=O)NC5=O)C)O,05H
Cc1cccc2c1c(ccc2)N3CCc4c(nc(nc4N5C[C@H]6CC[C@@H](C5)N6)OC[C@@H]7CCCN7C)C3,05I
CC[C@]1(CCc2c1nc(cc2)N3c4c(cnc(n4)Nc5ccc(cc5)N6CCN(CC6)C)C(=O)N3CC=C)O,05J
CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)O)CC(=O)NC[C@@H]3[C@H](C[C@@H](O3)N4C=C(C(=O)NC4=O)C)O,05K
CCCCCCC[Se][C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,05L
CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCP(c2ccccc2)(c3ccccc3)c4ccccc4,05M
C[C@H]1[C@H](CN[C@@H]1C(=O)O)O,05N
c1cc(ccc1C[C@@H](C(=O)O)N)OC(F)(F)F,05O
c1ccc(cc1)COc2c3c(nc[nH]3)nc(n2)Cl,05Q
c1cc(c(cc1CC(=O)O)Cl)Cl,05R
Cc1c2n(c3c1C(=O)CC(C3)(C)C)-c4ccc(c(c4)N[C@H](CNCCC2)C)C(=O)N,05S
[H]/N=C(\N)/NC1CCC(CC1)CN,05T
CC(C)C[C@@H]([C@H](C(C)C)O)N,05U
C[C@H](CO)[C@@H]([C@H](CC(C)C)N)O,05W
CN1CCC(CC1)C(=O)c2cccc(n2)NC(=O)c3c(cc(cc3F)F)F,05X
CCC(=O)Nc1nc2ccccc2n1CCc3ccccn3,05Y
c1ccc(cc1)CSc2c3c(nc[nH]3)nc(n2)Cl,05Z
CSC[C@H](C(=O)O)N,060
CCCCC1=Nc2ccc(cc2C(=O)N1Cc3ccc(cc3)c4ccccc4c5[nH]nnn5)O,061
c1ccc2c(c1)-c3c[n+](ccc3[C@]2(C(=O)N4CCC[C@H]4C(=O)NCc5cc(ccc5CN)Cl)O)[O-],062
C[C@]1(c2cc(c(cc2CCN1)OCCOCCNC(=O)[C@H](CCCNC(=NC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)Oc3ccc(c(c3)F)c4ccc(cc4)C(=O)O)CC(=O)Nc5nccs5,063
CC(C)c1c(c(no1)c2c(cccc2Cl)Cl)COc3ccc(c(c3)Cl)\C=C\c4cccc(c4)C(=O)O,064
CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc5c(c4)OCO5,065
Cc1cc(cc2c1ncc(c2Nc3cccc(c3)OC)C(=O)N)S(=O)(=O)c4cccc(c4)C(=O)N(C)C,066
c1cc(ccc1n2cc(nn2)C34C5=C6[Ru]5378912(C6=C74)C3C8=C9C1=C23)S(=O)(=O)N,067
CC(=O)c1ccc(cc1)c2ccc(cc2)CC[C@@H](CC(=O)O)O,068
c1cc(cc(c1)O)C(=O)NO,069
C[C@H](C(=O)N1CC2(C1)CC(C2)F)NC3=Nc4c(cnn4C5CCCC5)C(=O)N3,06A
COc1ccc(c(c1C(=O)O)OC)Br,06B
CI,06C
CCC(=O)N1CCC[C@H]1c2ccc(cc2)OC,06D
c1c(cnc2c1sc3c2N=C(NC3=O)CNCCCCCC(=O)O)Br,06E
Cc1ccc(cc1)n2c(cc(n2)C(C)(C)C)NC(=O)Nc3cccc(c3)Nc4ccc5c(c4)CCCCC5=O,06F
[C@@H]1([C@H]([C@H]([C@@H]([C@H]([C@@H]1OP(=O)(O)O)O)OP(=O)(O)O)OP(=O)(O)O)O)O,06G
Cc1c2n(c3c1C(=O)CC(C3)(C)C)-c4ccc(c(c4)N[C@H](C(=O)N(CCC2)C)C)C(=O)N,06H
Cc1c(ncs1)COc2cc(cc(c2)Cl)C3=CC(=CN(C3=O)c4cccnc4)C5=CNC(=O)NC5=O,06I
Cc1c2n(c3c1C(=O)CC(C3)(C)C)-c4ccc(c(c4)NC[C@H]5CCCN5CCC2)C(=O)N,06J
c1[nH]c2c(n1)nc(nc2Cl)Cl,06K
CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)O,06L
CS(=N)(=O)C1(CC1)c2cc(nc(n2)c3ccnc4c3cc[nH]4)C5=CN(C(=O)c6c5cc[nH]6)CCC=C,06M
CCCNc1nn2c(cnc2s1)c3ccc(cc3)O,06N
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H]([C@H]1OC(=O)CCCCCCCCCCCCCCC)O)O)O)O)OC(=O)CCCCCCC/C=C\C=C/CCCCCC,06O
C[n+]1ccc(cc1)CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc3ccccc3)N,06P
